ymd,jyo,racenum,age,joken,track,kyori,baba,tosu,tan,fuk1,fuk2,fuk3,umaren,umatan,3renpuku,3rentan,wide1,wide2,wide3,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,winrate,topodds
20250106,6,6,1,703,17,2000,1,18,4890,850,300,460,21760,71990,84620,852820,6420,5830,2320,7,4,2,10,8,5,12,9,6,3,1,13,17,15,11,16,14,18,0.242,2.0,
20250106,6,7,1,5,17,2000,1,12,3650,470,110,230,1510,9300,4760,72240,920,2970,410,6,2,4,3,5,7,10,12,8,1,9,11,0,0,0,0,0,0,0.267,5.1,
20250106,6,9,2,10,24,1800,1,16,760,230,110,230,910,2500,2950,19550,320,1140,400,2,1,3,7,8,6,9,10,12,13,4,5,0,15,11,14,0,0,0.440,1.9,
20250106,6,10,2,10,17,2000,1,15,410,170,230,180,2200,3440,3140,17680,770,510,630,5,8,1,3,15,2,4,6,9,13,14,11,7,12,10,0,0,0,0.201,3.8,
20250106,6,11,2,16,18,1200,1,16,250,140,370,250,2250,3500,4760,20670,930,430,1860,1,2,15,3,16,10,9,8,6,4,5,11,14,7,13,12,0,0,0.219,2.5,
20250106,7,11,2,999,11,3000,2,17,340,160,180,950,610,1190,14670,52080,350,3430,4890,1,2,9,7,14,17,6,12,8,15,5,4,11,10,3,16,13,0,0.283,3.4,
20250106,7,10,2,16,11,2000,2,18,1660,360,170,170,3940,8000,4790,40600,1080,1560,440,2,3,1,8,13,17,6,4,16,9,7,12,18,10,5,14,15,11,0.159,4.5,
20250106,7,12,2,10,11,1600,3,16,560,210,240,570,2530,4860,13560,61060,690,1810,1890,8,15,1,2,4,3,5,10,7,16,14,6,12,11,9,13,0,0,0.412,1.8,
20250111,6,3,1,703,24,1800,2,16,250,130,300,220,1310,1980,3470,11010,460,480,1750,1,4,3,5,9,6,14,15,11,7,10,13,8,16,2,12,0,0,0.144,2.5,
20250111,6,1,1,703,24,1200,2,16,390,180,200,2110,1270,2070,45990,131250,580,6840,9390,1,4,2,14,5,13,3,6,8,7,11,10,12,15,16,9,0,0,0.307,3.9,
20250111,6,6,2,5,24,1800,2,13,230,130,220,280,1160,1720,3100,10400,440,590,1280,3,4,1,5,2,10,6,11,13,7,9,8,12,0,0,0,0,0,0.221,14.8,
20250111,6,7,1,703,18,1600,1,16,3530,670,3240,250,152360,281980,374990,4511240,30590,2840,13090,4,10,11,7,6,8,16,3,1,2,13,9,14,5,12,15,0,0,0.203,17.9,
20250111,6,8,2,5,24,1200,2,16,420,170,150,210,910,1650,1310,6300,380,510,390,6,1,5,2,4,8,12,3,15,7,14,10,9,11,13,16,0,0,0.158,12.0,
20250111,6,9,1,5,24,1800,2,14,280,150,170,310,810,1210,3730,10700,320,1070,810,1,6,2,7,4,3,13,14,5,9,12,10,8,11,0,0,0,0,0.217,2.8,
20250111,6,10,2,10,24,1800,2,16,600,210,160,1070,970,2280,17320,49470,460,3990,3280,10,2,7,5,1,8,12,11,9,16,13,3,15,14,6,4,0,0,0.236,5.5,
20250111,6,11,2,16,18,2200,1,13,380,170,230,140,1940,3160,2210,11740,750,390,550,1,6,7,5,11,3,4,12,2,13,10,9,8,0,0,0,0,0,0.308,3.8,
20250111,6,12,2,10,18,1600,1,10,450,140,130,130,830,2000,730,4820,310,260,260,4,2,8,10,1,7,3,6,5,9,0,0,0,0,0,0,0,0,0.190,6.8,
20250111,7,1,1,703,23,1800,1,16,990,240,290,250,2710,5390,6290,36620,820,820,910,1,12,2,4,11,8,5,7,6,9,3,10,13,16,15,14,0,0,0.162,9.9,
20250111,7,2,1,703,23,1200,1,16,330,170,710,1730,3980,5840,54540,176340,1450,2600,17620,15,8,1,2,6,10,11,14,3,16,4,9,7,13,12,5,0,0,0.184,4.6,
20250111,7,4,2,5,23,1400,1,16,420,170,980,190,12910,19760,23130,167480,3920,550,4150,9,8,1,4,6,7,14,13,3,2,15,16,5,11,10,12,0,0,0.245,10.1,
20250111,7,5,1,703,11,2200,1,18,690,240,2020,210,38180,46000,42090,288400,8670,810,5430,5,3,6,8,4,11,15,14,17,9,12,1,7,10,2,13,18,16,0.224,7.3,
20250111,7,6,1,5,11,1200,1,7,390,220,270,0,880,1650,1180,6900,340,410,530,2,1,6,4,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0.407,5.5,
20250111,7,7,2,5,23,1800,1,16,1900,360,210,170,5030,11790,8020,81330,1420,1250,640,6,7,3,4,2,9,1,10,11,12,15,8,5,13,14,16,0,0,0.223,6.3,
20250111,7,9,2,10,11,2000,1,13,1050,290,180,250,2880,5960,7250,38080,1130,1460,780,8,4,2,11,10,1,3,5,12,6,7,13,9,0,0,0,0,0,0.185,13.4,
20250111,7,10,2,10,23,1800,1,16,130,110,280,170,1230,1240,1940,6400,500,260,1040,1,4,3,5,10,9,2,15,14,11,7,13,12,6,8,16,0,0,0.428,1.3,
20250111,7,11,2,999,23,1400,1,16,320,160,140,290,880,1560,3320,12490,430,820,930,2,5,7,1,11,3,6,16,8,4,10,14,9,13,12,15,0,0,0.210,3.7,
20250111,7,12,1,703,11,1600,1,16,640,230,650,160,13410,21110,9840,71110,3610,470,1570,15,3,7,1,14,12,8,2,4,5,9,11,10,6,13,16,0,0,0.211,8.2,
20250112,6,12,2,10,24,1200,1,16,270,130,170,180,850,1520,1470,4870,400,310,600,2,1,8,3,7,4,12,16,14,10,15,5,9,13,5,11,0,0,0.241,5.4,
20250112,6,1,1,703,24,1200,1,16,200,130,110,260,300,480,1040,3370,170,590,630,1,2,15,12,6,11,10,8,3,9,5,7,4,13,14,16,0,0,0.167,2.0,
20250112,6,2,1,703,24,1800,1,16,120,100,200,120,960,1130,720,2930,320,140,560,1,3,10,12,4,7,7,2,11,14,9,5,16,15,6,13,0,0,0.432,1.2,
20250112,6,3,1,703,24,1200,1,16,3250,770,360,320,12790,35320,47180,380400,3160,3800,1470,8,6,2,9,3,5,1,15,11,7,13,12,14,4,10,16,0,0,0.262,3.2,
20250112,6,5,1,703,17,2000,1,18,810,200,310,140,3760,6970,3410,25140,1280,380,750,2,3,8,11,1,10,4,5,6,18,16,12,7,9,13,15,14,17,0.194,12.5,
20250112,6,6,2,5,24,1200,1,16,1230,320,250,210,4250,8170,9110,54980,1400,1260,1190,9,4,2,5,12,3,1,15,7,14,13,8,6,10,16,11,0,0,0.243,7.8,
20250112,6,7,2,5,18,2200,1,18,200,120,190,240,850,1250,3090,9040,360,510,1280,1,4,2,3,7,13,12,9,18,5,6,11,10,8,15,17,14,16,0.230,2.0,
20250112,6,8,2,5,24,1800,1,16,240,140,180,530,740,1130,8140,20360,380,1150,2930,1,9,2,4,8,5,15,3,13,7,16,10,11,6,14,12,0,0,0.189,2.4,
20250112,6,9,2,10,18,2200,1,14,350,160,180,820,820,1500,9180,28340,320,2300,2440,2,6,1,4,9,14,12,5,11,7,3,8,10,13,0,0,0,0,0.169,5.6,
20250112,6,10,2,999,24,1800,1,16,490,180,160,780,920,2050,10030,46630,380,1970,2840,0,2,10,1,6,5,11,7,3,13,8,12,9,4,14,15,0,0,0.213,11.3,
20250112,6,11,1,999,18,1600,1,16,590,260,240,620,2700,5470,24750,105960,1080,3400,2880,4,2,14,9,10,11,16,12,3,7,1,13,15,8,6,5,0,0,0.213,6.6,
20250112,7,1,1,703,23,1800,1,16,120,100,170,380,510,540,3710,7870,240,780,2220,1,4,2,3,16,11,15,7,13,8,12,10,6,14,5,9,0,0,0.314,1.2,
20250112,7,2,1,703,23,1400,1,16,790,340,2170,1360,54010,67970,616330,3364960,11980,4130,46760,14,12,1,9,6,4,8,13,15,16,10,2,5,3,11,7,0,0,0.177,5.5,
